energy,count
-11.985713999992186,2
-11.985713999992072,2
-11.842856999992136,4
-11.842856999992025,4
-11.77142799999217,2
-11.771427999992056,2
-11.699999999992087,6
-11.699999999991974,6
-11.62857099999212,7
-11.628570999992007,6
-11.557142999992038,8
-11.557142999991925,8
-11.485713999992072,12
-11.485713999991958,10
-11.414285999992105,4
-11.41428599999199,4
-11.41428499999222,3
-11.414284999992104,5
-11.414284999991992,2
-11.342856999992025,17
-11.342856999991907,14
-11.271428999992054,6
-11.27142899999194,6
-11.27142799999217,6
-11.271427999992056,13
-11.271427999991944,6
-11.271427999991827,1
-11.1999999999922,3
-11.199999999992087,5
-11.199999999991974,2
-11.128571999992005,8
-11.128571999991893,8
-11.12857099999212,9
-11.128570999992007,21
-11.128570999991894,10
-11.12857099999178,2
-11.057142999992152,6
-11.057142999992038,16
-11.057142999991925,10
-11.057141999992156,3
-11.05714199999204,5
-11.057141999991927,3
-11.057141999991812,1
-10.914285999992105,9
-10.91428599999199,26
-10.914285999991876,16
-10.914285999991762,1
-10.914284999992104,6
-10.914284999991992,10
-10.914284999991878,6
-10.914284999991764,2
-10.84285699999225,2
-10.842856999992136,11
-10.842856999992025,17
-10.842856999991907,7
-10.842856999991795,1
-10.6999999999922,5
-10.699999999992087,23
-10.699999999991974,41
-10.69999999999186,24
-10.699999999991746,3
-10.628570999992236,2
-10.62857099999212,5
-10.628570999992007,7
-10.628570999991894,3
-10.62857099999178,1
-10.571428999991896,3
-10.57142899999178,1
-10.571428999991667,3
-10.571428999991554,5
-10.57142899999144,9
-10.571428999991326,6
-10.485714999992297,1
-10.485714999992185,3
-10.48571499999207,6
-10.485714999991956,6
-10.485714999991842,4
-10.485714999991728,1
-10.485713999992186,4
-10.485713999992072,19
-10.485713999991958,29
-10.485713999991845,12
-10.48571399999173,2
-10.428570999991734,4
-10.42857099999162,1
-10.428570999991509,3
-10.428570999991392,6
-10.42857099999128,12
-10.428570999991166,8
-10.357142999991993,2
-10.35714299999188,2
-10.357142999991538,8
-10.357142999991424,8
-10.285713999991684,5
-10.285713999991572,1
-10.285713999991458,3
-10.285713999991344,7
-10.28571399999123,15
-10.285713999991115,10
-10.271428999992397,1
-10.27142899999228,3
-10.271428999992168,5
-10.271428999992054,8
-10.27142899999194,6
-10.271428999991826,4
-10.271428999991713,1
-10.27142799999217,4
-10.271427999992056,10
-10.271427999991944,14
-10.271427999991827,6
-10.271427999991715,2
-10.214284999991833,3
-10.21428499999172,9
-10.214284999991603,2
-10.214284999991492,14
-10.214284999991378,12
-10.214284999991264,24
-10.21428499999115,16
-10.142857999991977,2
-10.14285799999186,1
-10.142856999991636,6
-10.142856999991524,18
-10.142856999991409,17
-10.142856999991295,8
-10.142856999991182,18
-10.142856999991068,12
-10.071427999991784,4
-10.07142799999167,11
-10.071427999991556,2
-10.071427999991442,16
-10.071427999991329,14
-10.071427999991217,30
-10.0714279999911,20
-10.05714299999238,1
-10.057142999992266,3
-10.057142999992152,5
-10.057142999992038,8
-10.057142999991925,6
-10.057142999991813,4
-10.057142999991695,1
-9.999999999991816,4
-9.9999999999917,2
-9.999999999991587,7
-9.999999999991472,1
-9.99999999999136,3
-9.999999999991246,9
-9.999999999991132,21
-9.99999999999102,14
-9.999998999991815,3
-9.999998999991703,3
-9.928571999991618,2
-9.928571999991505,10
-9.92857199999139,8
-9.928570999991734,5
-9.92857099999162,22
-9.928570999991509,23
-9.928570999991392,28
-9.92857099999128,18
-9.928570999991166,36
-9.928570999991052,24
-9.857142999991764,7
-9.857142999991652,14
-9.857142999991538,15
-9.857142999991424,33
-9.85714299999131,29
-9.857142999991195,40
-9.857142999991083,20
-9.857141999991768,4
-9.857141999991654,4
-9.78571399999248,4
-9.785713999992367,2
-9.7857139999918,6
-9.785713999991684,11
-9.785713999991572,15
-9.785713999991458,4
-9.785713999991344,24
-9.78571399999123,20
-9.785713999991115,42
-9.785713999991003,28
-9.714285999991716,9
-9.714285999991604,28
-9.714285999991487,45
-9.714285999991375,54
-9.714285999991262,35
-9.714285999991148,48
-9.714285999991034,24
-9.71428499999172,5
-9.714284999991603,11
-9.714284999991492,10
-9.714284999991378,6
-9.714284999991264,2
-9.642856999992771,2
-9.64285699999266,2
-9.642856999992432,8
-9.642856999992318,4
-9.64285699999175,14
-9.642856999991636,13
-9.642856999991409,2
-9.642856999991295,6
-9.642856999991182,4
-9.571428999991667,11
-9.571428999991554,18
-9.57142899999144,19
-9.571428999991326,43
-9.571428999991213,39
-9.5714289999911,56
-9.571428999990983,28
-9.571427999993034,1
-9.57142799999292,1
-9.571427999992808,2
-9.571427999992466,4
-9.571427999992352,2
-9.571427999991784,2
-9.57142799999167,9
-9.571427999991556,6
-9.571427999991442,5
-9.571427999991329,4
-9.499999999992724,6
-9.49999999999261,6
-9.499999999992385,12
-9.49999999999227,6
-9.4999999999917,28
-9.499999999991587,71
-9.499999999991472,68
-9.49999999999136,83
-9.499999999991246,57
-9.499999999991132,54
-9.49999999999102,24
-9.428571999991732,6
-9.428571999991618,3
-9.428570999992983,2
-9.428570999992871,2
-9.428570999992758,6
-9.428570999992644,2
-9.42857099999253,2
-9.428570999992417,12
-9.428570999992305,8
-9.428570999991734,6
-9.42857099999162,10
-9.428570999991392,8
-9.42857099999128,9
-9.428570999991166,2
-9.357142999992677,12
-9.35714299999256,12
-9.357142999992334,16
-9.35714299999222,8
-9.357142999991652,28
-9.357142999991538,53
-9.357142999991424,28
-9.35714299999131,66
-9.357142999991195,63
-9.357142999991083,64
-9.35714299999097,28
-9.35714199999154,3
-9.357141999991429,8
-9.357141999991311,4
-9.3571419999912,1
-9.285714999991797,1
-9.285714999991685,11
-9.28571499999157,13
-9.285714999991455,8
-9.285714999991342,5
-9.285714999991228,1
-9.285713999992936,3
-9.285713999992822,3
-9.285713999992709,15
-9.285713999992597,8
-9.28571399999248,4
-9.285713999992367,20
-9.285713999992254,14
-9.285713999991684,19
-9.285713999991572,41
-9.285713999991458,37
-9.285713999991344,31
-9.28571399999123,16
-9.285713999991115,4
-9.214285999992969,2
-9.214285999992851,2
-9.21428599999274,6
-9.214285999992626,2
-9.2142859999924,8
-9.214285999992285,4
-9.214285999991716,4
-9.214285999991604,6
-9.214285999991375,2
-9.214285999991262,2
-9.214284999992856,4
-9.214284999992742,1
-9.214284999992628,4
-9.214284999992516,8
-9.2142849999924,9
-9.214284999992287,4
-9.21428499999172,3
-9.214284999991603,4
-9.214284999991492,3
-9.214284999991378,8
-9.214284999991264,4
-9.21428499999115,1
-9.142857999991634,10
-9.14285799999152,5
-9.142856999992889,4
-9.142856999992771,4
-9.14285699999266,29
-9.142856999992546,18
-9.142856999992432,6
-9.142856999992318,28
-9.142856999992205,20
-9.14285699999175,2
-9.142856999991636,41
-9.142856999991524,70
-9.142856999991409,52
-9.142856999991295,94
-9.142856999991182,73
-9.142856999991068,62
-9.142856999990954,28
-9.142855999991523,3
-9.142855999991411,5
-9.142855999991298,3
-9.142855999991184,1
-9.071428999992918,3
-9.071428999992804,3
-9.07142899999269,12
-9.071428999992577,6
-9.07142899999235,12
-9.071428999992236,6
-9.071428999991896,1
-9.07142899999178,3
-9.071428999991667,20
-9.071428999991554,23
-9.07142899999144,17
-9.071428999991326,14
-9.071428999991213,3
-9.071427999992808,11
-9.071427999992691,9
-9.07142799999258,12
-9.071427999992466,20
-9.071427999992352,23
-9.071427999992238,13
-9.071427999992125,1
-9.07142799999167,12
-9.071427999991556,30
-9.071427999991442,36
-9.071427999991329,25
-9.071427999991217,13
-9.0714279999911,4
-9.071427999990988,1
-8.999999999992838,10
-8.999999999992724,3
-8.99999999999261,4
-8.999999999992497,8
-8.999999999992383,9
-8.99999999999227,4
-8.9999999999917,3
-8.999999999991587,4
-8.999999999991473,3
-8.99999999999136,8
-8.999999999991246,4
-8.999999999991132,1
-8.999998999991476,3
-8.999998999991362,5
-8.999998999991249,3
-8.999998999991135,1
-8.928571999992869,4
-8.928571999992755,4
-8.928571999992641,20
-8.928571999992528,12
-8.9285719999923,16
-8.928571999992187,8
-8.928571999991618,18
-8.928571999991505,17
-8.928571999991277,2
-8.928571999991163,2
-8.928570999992758,21
-8.928570999992644,23
-8.92857099999253,22
-8.928570999992417,33
-8.928570999992303,37
-8.92857099999219,22
-8.928570999992075,2
-8.92857099999162,20
-8.928570999991507,29
-8.928570999991393,17
-8.92857099999128,25
-8.928570999991166,19
-8.928570999991052,7
-8.928570999990939,2
-8.857142999992789,29
-8.857142999992675,19
-8.857142999992561,16
-8.857142999992448,16
-8.857142999992334,30
-8.85714299999222,14
-8.85714299999188,1
-8.857142999991765,3
-8.857142999991652,17
-8.857142999991538,34
-8.857142999991424,32
-8.85714299999131,28
-8.857142999991197,7
-8.857142999991083,1
-8.857141999992905,1
-8.857141999992791,2
-8.857141999992677,5
-8.857141999992564,7
-8.85714199999245,12
-8.857141999992336,12
-8.857141999992223,6
-8.857141999992109,1
-8.857141999991654,6
-8.85714199999154,14
-8.857141999991427,19
-8.857141999991313,11
-8.8571419999912,5
-8.857141999991086,1
-8.799999999991542,2
-8.799999999991428,3
-8.799999999991314,6
-8.7999999999912,10
-8.799999999991087,14
-8.799999999990973,9
-8.79999999999086,7
-8.799999999990746,9
-8.799999999990632,21
-8.799999999990519,14
-8.78571399999305,2
-8.785713999992936,8
-8.785713999992822,2
-8.785713999992709,2
-8.785713999992595,6
-8.785713999992481,6
-8.785713999991572,3
-8.785713999991458,10
-8.785713999991344,13
-8.78571399999123,10
-8.785713999991117,2
-8.71428599999274,45
-8.714285999992626,38
-8.714285999992512,30
-8.714285999992399,28
-8.714285999992285,48
-8.714285999992171,25
-8.714285999992057,1
-8.714285999991603,30
-8.714285999991489,35
-8.714285999991375,10
-8.714285999991262,18
-8.714285999991148,12
-8.714285999991034,5
-8.71428599999092,1
-8.714284999992856,2
-8.714284999992742,7
-8.714284999992628,13
-8.714284999992515,15
-8.714284999992401,25
-8.714284999992287,24
-8.714284999992174,12
-8.71428499999206,2
-8.714284999991605,6
-8.714284999991492,12
-8.714284999991378,10
-8.714284999991264,10
-8.71428499999115,3
-8.714284999991037,1
-8.657142999991493,2
-8.657142999991379,5
-8.657142999991265,9
-8.657142999991152,17
-8.657142999991038,15
-8.657142999990924,18
-8.65714299999081,11
-8.657142999990697,8
-8.657142999990583,4
-8.642856999993,4
-8.642856999992887,24
-8.642856999992773,15
-8.64285699999266,26
-8.642856999992546,30
-8.642856999992432,41
-8.642856999992318,32
-8.642856999992205,14
-8.642856999992091,1
-8.642856999991864,1
-8.64285699999175,3
-8.642856999991636,18
-8.642856999991523,42
-8.642856999991409,50
-8.642856999991295,34
-8.642856999991182,15
-8.642856999991068,2
-8.585713999991185,6
-8.585713999991071,15
-8.585713999990958,2
-8.585713999990844,20
-8.58571399999073,18
-8.585713999990617,42
-8.585713999990503,28
-8.571428999991667,1
-8.571428999991554,3
-8.57142899999144,6
-8.571428999991326,6
-8.571428999991213,4
-8.571428999991099,1
-8.571427999993034,2
-8.57142799999292,1
-8.571427999992807,1
-8.57142799999258,9
-8.571427999992466,8
-8.571427999991556,2
-8.571427999991442,4
-8.571427999991329,3
-8.571427999991215,5
-8.514285999991444,4
-8.51428599999133,8
-8.514285999991216,15
-8.514285999991102,26
-8.514285999990989,23
-8.514285999990875,28
-8.514285999990761,18
-8.514285999990648,16
-8.514285999990534,8
-8.499999999992951,6
-8.499999999992838,43
-8.499999999992724,40
-8.49999999999261,82
-8.499999999992497,82
-8.499999999992383,88
-8.49999999999227,83
-8.499999999992156,38
-8.499999999992042,3
-8.4999999999917,1
-8.499999999991587,25
-8.499999999991473,39
-8.49999999999136,19
-8.499999999991246,20
-8.499999999991132,14
-8.499999999991019,2
-8.428571999992869,3
-8.428571999992755,3
-8.428571999992641,6
-8.428571999991846,1
-8.428571999991732,3
-8.428571999991618,6
-8.428571999991505,11
-8.42857199999139,12
-8.428571999991277,10
-8.428571999991163,5
-8.42857199999105,1
-8.428570999992985,10
-8.428570999992871,7
-8.428570999992758,30
-8.428570999992644,7
-8.42857099999253,24
-8.428570999992417,27
-8.428570999992303,14
-8.42857099999219,6
-8.428570999992075,1
-8.42857099999162,7
-8.428570999991507,18
-8.428570999991393,25
-8.42857099999128,16
-8.428570999991166,10
-8.428570999991052,1
-8.371428999992531,3
-8.371428999992418,3
-8.371428999992304,9
-8.37142899999219,9
-8.371428999992077,9
-8.371428999991963,12
-8.37142899999185,21
-8.371428999991736,21
-8.371428999991622,15
-8.371428999991508,2
-8.371428999991394,7
-8.37142899999128,15
-8.371428999991167,39
-8.371428999991053,58
-8.37142899999094,62
-8.371428999990826,88
-8.371428999990712,67
-8.371428999990599,82
-8.371428999990485,40
-8.37142799999117,6
-8.371427999991056,6
-8.357142999993016,2
-8.357142999992902,1
-8.357142999992789,1
-8.357142999992561,4
-8.357142999992448,4
-8.357142999991765,1
-8.357142999991652,2
-8.357142999991538,4
-8.357142999991424,7
-8.35714299999131,5
-8.357142999991197,5
-8.357141999992677,3
-8.357141999992564,5
-8.35714199999245,2
-8.2999999999912,1
-8.299999999991087,1
-8.28571499999282,7
-8.285714999992706,10
-8.285714999992592,22
-8.285714999992479,22
-8.285714999992365,24
-8.285714999992251,14
-8.285714999992138,6
-8.285714999992024,1
-8.285714999991683,1
-8.28571499999157,4
-8.285714999991455,7
-8.285714999991342,8
-8.285714999991228,6
-8.285714999991114,4
-8.285714999991,1
-8.285713999992936,16
-8.285713999992822,14
-8.285713999992709,91
-8.285713999992595,42
-8.285713999992481,67
-8.285713999992367,77
-8.285713999992254,55
-8.28571399999214,24
-8.285713999992026,2
-8.285713999991572,15
-8.285713999991458,24
-8.285713999991344,16
-8.28571399999123,15
-8.285713999991117,10
-8.285713999991003,1
-8.228570999992371,6
-8.228570999992257,4
-8.228570999992144,12
-8.22857099999203,14
-8.228570999991916,18
-8.228570999991803,18
-8.228570999991689,25
-8.228570999991575,28
-8.228570999991462,20
-8.228570999991348,4
-8.228570999991234,10
-8.22857099999112,21
-8.228570999991007,36
-8.228570999990893,50
-8.22857099999078,55
-8.228570999990666,57
-8.228570999990552,35
-8.228570999990438,34
-8.228570999990325,16
-8.214285999992967,8
-8.214285999992853,4
-8.21428599999274,12
-8.214285999992626,4
-8.214285999992512,4
-8.214285999992399,4
-8.21428599999183,1
-8.214285999991716,5
-8.214285999991603,10
-8.214285999991489,17
-8.214285999991375,21
-8.214285999991262,15
-8.214285999991148,10
-8.214285999991034,1
-8.21428499999297,1
-8.214284999992856,11
-8.214284999992742,5
-8.214284999992628,6
-8.214284999992515,6
-8.214284999992401,2
-8.157142999992857,2
-8.15714299999263,1
-8.157142999992516,1
-8.157142999992175,14
-8.157142999992061,12
-8.157142999991834,16
-8.15714299999172,8
-8.157142999991606,2
-8.157142999991265,1
-8.157142999991152,31
-8.157142999991038,55
-8.157142999990924,30
-8.15714299999081,68
-8.157142999990697,63
-8.157142999990583,64
-8.15714299999047,28
-8.14285699999266,3
-8.142856999992546,5
-8.142856999992432,2
-8.085713999992322,10
-8.085713999991981,1
-8.085713999991867,30
-8.085713999991754,20
-8.08571399999164,20
-8.085713999991526,35
-8.085713999991412,25
-8.085713999990958,5
-8.085713999990844,13
-8.08571399999073,46
-8.085713999990617,61
-8.085713999990503,38
-8.08571399999039,42
-8.085713999990276,20
